group,replicate,fastq_1,fastq_2,antibody,control
AFF1,1,fastq/BIGlebowski/ENCFF930PKX.fastq.gz,fastq/BIGlebowski/ENCFF916BZF.fastq.gz,AFF1,input_control
AFF1,2,fastq/BIGlebowski/ENCFF404ITD.fastq.gz,fastq/BIGlebowski/ENCFF792VBK.fastq.gz,AFF1,input_control
AFF1,3,fastq/BIGlebowski/ENCFF452EKB.fastq.gz,fastq/BIGlebowski/ENCFF267LVE.fastq.gz,AFF1,input_control
AFF1,4,fastq/BIGlebowski/ENCFF270SAL.fastq.gz,fastq/BIGlebowski/ENCFF861EEE.fastq.gz,AFF1,input_control
ARHGAP35,1,fastq/BIGlebowski/ENCFF111ZWV.fastq.gz,fastq/BIGlebowski/ENCFF129HKI.fastq.gz,ARHGAP35,input_control
ARHGAP35,2,fastq/BIGlebowski/ENCFF439UUP.fastq.gz,fastq/BIGlebowski/ENCFF333JPS.fastq.gz,ARHGAP35,input_control
ARID1B,1,fastq/BIGlebowski/ENCFF718FBA.fastq.gz,fastq/BIGlebowski/ENCFF521KBW.fastq.gz,ARID1B,input_control
ARID1B,2,fastq/BIGlebowski/ENCFF680HKS.fastq.gz,fastq/BIGlebowski/ENCFF065YSO.fastq.gz,ARID1B,input_control
ARID2,1,fastq/BIGlebowski/ENCFF991XUU.fastq.gz,fastq/BIGlebowski/ENCFF385PER.fastq.gz,ARID2,input_control
ARID2,2,fastq/BIGlebowski/ENCFF272DKU.fastq.gz,fastq/BIGlebowski/ENCFF808AUX.fastq.gz,ARID2,input_control
ARNT,1,fastq/BIGlebowski/ENCFF806CEC.fastq.gz,fastq/BIGlebowski/ENCFF004DQS.fastq.gz,ARNT,input_control
ARNT,2,fastq/BIGlebowski/ENCFF841ZHV.fastq.gz,fastq/BIGlebowski/ENCFF382GYA.fastq.gz,ARNT,rabbit-IgG-control
ARNT,3,fastq/BIGlebowski/ENCFF546YEQ.fastq.gz,fastq/BIGlebowski/ENCFF446XHP.fastq.gz,ARNT,rabbit-IgG-control
ARNT,4,fastq/BIGlebowski/ENCFF109UIV.fastq.gz,fastq/BIGlebowski/ENCFF748SHJ.fastq.gz,ARNT,rabbit-IgG-control
ARNT,5,fastq/BIGlebowski/ENCFF126ENC.fastq.gz,fastq/BIGlebowski/ENCFF198XWC.fastq.gz,ARNT,rabbit-IgG-control
ARNT,6,fastq/BIGlebowski/ENCFF041PSD.fastq.gz,fastq/BIGlebowski/ENCFF023BWP.fastq.gz,ARNT,input_control
ASH1L,1,fastq/BIGlebowski/ENCFF235JMI.fastq.gz,fastq/BIGlebowski/ENCFF993LLQ.fastq.gz,ASH1L,rabbit-IgG-control
ASH1L,2,fastq/BIGlebowski/ENCFF737EQI.fastq.gz,fastq/BIGlebowski/ENCFF158TRB.fastq.gz,ASH1L,rabbit-IgG-control
ATF2,1,fastq/BIGlebowski/ENCFF307XRL.fastq.gz,fastq/BIGlebowski/ENCFF951ZXP.fastq.gz,ATF2,rabbit-IgG-control
ATF2,2,fastq/BIGlebowski/ENCFF043SEF.fastq.gz,fastq/BIGlebowski/ENCFF780EID.fastq.gz,ATF2,rabbit-IgG-control
ATF3,1,fastq/BIGlebowski/ENCFF367HUF.fastq.gz,fastq/BIGlebowski/ENCFF169CRK.fastq.gz,ATF3,input_control
ATF3,2,fastq/BIGlebowski/ENCFF457RYN.fastq.gz,fastq/BIGlebowski/ENCFF126JWD.fastq.gz,ATF3,input_control
ATF4,1,fastq/BIGlebowski/ENCFF565KLI.fastq.gz,fastq/BIGlebowski/ENCFF682IGK.fastq.gz,ATF4,rabbit-IgG-control
ATF4,2,fastq/BIGlebowski/ENCFF081USS.fastq.gz,fastq/BIGlebowski/ENCFF069VNL.fastq.gz,ATF4,rabbit-IgG-control
ATF7,1,fastq/BIGlebowski/ENCFF002DOR.fastq.gz,fastq/BIGlebowski/ENCFF002EIJ.fastq.gz,ATF7,rabbit-IgG-control
ATF7,2,fastq/BIGlebowski/ENCFF002DTY.fastq.gz,fastq/BIGlebowski/ENCFF002DOV.fastq.gz,ATF7,rabbit-IgG-control
BCLAF1,1,fastq/BIGlebowski/ENCFF744DBX.fastq.gz,fastq/BIGlebowski/ENCFF834VSH.fastq.gz,BCLAF1,input_control
BCLAF1,2,fastq/BIGlebowski/ENCFF404NEP.fastq.gz,fastq/BIGlebowski/ENCFF355NCQ.fastq.gz,BCLAF1,input_control
BCLAF1,3,fastq/BIGlebowski/ENCFF801FWC.fastq.gz,fastq/BIGlebowski/ENCFF455GIL.fastq.gz,BCLAF1,input_control
BCLAF1,4,fastq/BIGlebowski/ENCFF188VON.fastq.gz,fastq/BIGlebowski/ENCFF574FTC.fastq.gz,BCLAF1,input_control
BCOR,1,fastq/BIGlebowski/ENCFF423KKF.fastq.gz,fastq/BIGlebowski/ENCFF047XMV.fastq.gz,BCOR,input_control
BCOR,2,fastq/BIGlebowski/ENCFF949LLJ.fastq.gz,fastq/BIGlebowski/ENCFF036YYM.fastq.gz,BCOR,input_control
BRCA1,1,fastq/BIGlebowski/ENCFF276RGL.fastq.gz,fastq/BIGlebowski/ENCFF231TGV.fastq.gz,BRCA1,input_control
BRCA1,2,fastq/BIGlebowski/ENCFF576EVC.fastq.gz,fastq/BIGlebowski/ENCFF805AVF.fastq.gz,BRCA1,input_control
BRD9,1,fastq/BIGlebowski/ENCFF373VRZ.fastq.gz,fastq/BIGlebowski/ENCFF539YNG.fastq.gz,BRD9,rabbit-IgG-control
BRD9,2,fastq/BIGlebowski/ENCFF700CIV.fastq.gz,fastq/BIGlebowski/ENCFF872XVD.fastq.gz,BRD9,rabbit-IgG-control
C11orf30,1,fastq/BIGlebowski/ENCFF749RRK.fastq.gz,fastq/BIGlebowski/ENCFF325DTB.fastq.gz,C11orf30,input_control
C11orf30,2,fastq/BIGlebowski/ENCFF076YGT.fastq.gz,fastq/BIGlebowski/ENCFF380PYR.fastq.gz,C11orf30,input_control
CBFA2T2,1,fastq/BIGlebowski/ENCFF501GVP.fastq.gz,fastq/BIGlebowski/ENCFF590GNR.fastq.gz,CBFA2T2,input_control
CBFA2T2,2,fastq/BIGlebowski/ENCFF875MPK.fastq.gz,fastq/BIGlebowski/ENCFF477TYW.fastq.gz,CBFA2T2,input_control
CBFA2T3,1,fastq/BIGlebowski/ENCFF238IYZ.fastq.gz,fastq/BIGlebowski/ENCFF203LDU.fastq.gz,CBFA2T3,input_control
CBFA2T3,2,fastq/BIGlebowski/ENCFF256ZUF.fastq.gz,fastq/BIGlebowski/ENCFF090VRQ.fastq.gz,CBFA2T3,input_control
CC2D1A,1,fastq/BIGlebowski/ENCFF160TXM.fastq.gz,fastq/BIGlebowski/ENCFF134VGP.fastq.gz,CC2D1A,input_control
CC2D1A,2,fastq/BIGlebowski/ENCFF608EHV.fastq.gz,fastq/BIGlebowski/ENCFF197ETF.fastq.gz,CC2D1A,input_control
CDC5L,1,fastq/BIGlebowski/ENCFF899BAM.fastq.gz,fastq/BIGlebowski/ENCFF146CPM.fastq.gz,CDC5L,input_control
CDC5L,2,fastq/BIGlebowski/ENCFF847ZNJ.fastq.gz,fastq/BIGlebowski/ENCFF300KRT.fastq.gz,CDC5L,input_control
CHAMP1,1,fastq/BIGlebowski/ENCFF740JJX.fastq.gz,fastq/BIGlebowski/ENCFF507REW.fastq.gz,CHAMP1,input_control
CHAMP1,2,fastq/BIGlebowski/ENCFF745JUW.fastq.gz,fastq/BIGlebowski/ENCFF273PTZ.fastq.gz,CHAMP1,input_control
CHAMP1,3,fastq/BIGlebowski/ENCFF389LWM.fastq.gz,fastq/BIGlebowski/ENCFF878ZAA.fastq.gz,CHAMP1,input_control
CHAMP1,4,fastq/BIGlebowski/ENCFF088KVK.fastq.gz,fastq/BIGlebowski/ENCFF576YEJ.fastq.gz,CHAMP1,input_control
COPS2,1,fastq/BIGlebowski/ENCFF257UIV.fastq.gz,fastq/BIGlebowski/ENCFF042QKO.fastq.gz,COPS2,input_control
COPS2,2,fastq/BIGlebowski/ENCFF610FSQ.fastq.gz,fastq/BIGlebowski/ENCFF064WKY.fastq.gz,COPS2,input_control
CREB3L1,1,fastq/BIGlebowski/ENCFF002EIT.fastq.gz,fastq/BIGlebowski/ENCFF002EIQ.fastq.gz,CREB3L1,rabbit-IgG-control
CREB3L1,2,fastq/BIGlebowski/ENCFF002EIN.fastq.gz,fastq/BIGlebowski/ENCFF002EIS.fastq.gz,CREB3L1,rabbit-IgG-control
CSDE1,1,fastq/BIGlebowski/ENCFF265YIH.fastq.gz,fastq/BIGlebowski/ENCFF213FVU.fastq.gz,CSDE1,input_control
CSDE1,2,fastq/BIGlebowski/ENCFF270QZW.fastq.gz,fastq/BIGlebowski/ENCFF910CUI.fastq.gz,CSDE1,input_control
CSDE1,3,fastq/BIGlebowski/ENCFF083CSA.fastq.gz,fastq/BIGlebowski/ENCFF042ZPU.fastq.gz,CSDE1,input_control
CSDE1,4,fastq/BIGlebowski/ENCFF940EGQ.fastq.gz,fastq/BIGlebowski/ENCFF255NDV.fastq.gz,CSDE1,input_control
CTBP1,1,fastq/BIGlebowski/ENCFF034WZZ.fastq.gz,fastq/BIGlebowski/ENCFF350AMO.fastq.gz,CTBP1,rabbit-IgG-control
CTBP1,2,fastq/BIGlebowski/ENCFF829YQD.fastq.gz,fastq/BIGlebowski/ENCFF077DIB.fastq.gz,CTBP1,rabbit-IgG-control
DACH1,1,fastq/BIGlebowski/ENCFF329ZRM.fastq.gz,fastq/BIGlebowski/ENCFF504ZSA.fastq.gz,DACH1,input_control
DACH1,2,fastq/BIGlebowski/ENCFF402INY.fastq.gz,fastq/BIGlebowski/ENCFF340IWG.fastq.gz,DACH1,input_control
DDX20,1,fastq/BIGlebowski/ENCFF771DFR.fastq.gz,fastq/BIGlebowski/ENCFF931EDX.fastq.gz,DDX20,rabbit-IgG-control
DDX20,2,fastq/BIGlebowski/ENCFF881HGO.fastq.gz,fastq/BIGlebowski/ENCFF071FDG.fastq.gz,DDX20,rabbit-IgG-control
DNMT1,1,fastq/BIGlebowski/ENCFF126MZP.fastq.gz,fastq/BIGlebowski/ENCFF553GOC.fastq.gz,DNMT1,input_control
DNMT1,2,fastq/BIGlebowski/ENCFF436CBC.fastq.gz,fastq/BIGlebowski/ENCFF306GVI.fastq.gz,DNMT1,input_control
DPF2,1,fastq/BIGlebowski/ENCFF579BJG.fastq.gz,fastq/BIGlebowski/ENCFF031JCO.fastq.gz,DPF2,rabbit-IgG-control
DPF2,2,fastq/BIGlebowski/ENCFF952UEN.fastq.gz,fastq/BIGlebowski/ENCFF245SAZ.fastq.gz,DPF2,rabbit-IgG-control
DPF2,3,fastq/BIGlebowski/ENCFF389HJO.fastq.gz,fastq/BIGlebowski/ENCFF290HFY.fastq.gz,DPF2,rabbit-IgG-control
DPF2,4,fastq/BIGlebowski/ENCFF820AHB.fastq.gz,fastq/BIGlebowski/ENCFF469EAQ.fastq.gz,DPF2,rabbit-IgG-control
E2F1,1,fastq/BIGlebowski/ENCFF907JIE.fastq.gz,fastq/BIGlebowski/ENCFF399CCC.fastq.gz,E2F1,rabbit-IgG-control
E2F1,2,fastq/BIGlebowski/ENCFF803CCE.fastq.gz,fastq/BIGlebowski/ENCFF917BAA.fastq.gz,E2F1,input_control
E2F1,3,fastq/BIGlebowski/ENCFF895VJN.fastq.gz,fastq/BIGlebowski/ENCFF108ESB.fastq.gz,E2F1,input_control
E2F1,4,fastq/BIGlebowski/ENCFF749JUG.fastq.gz,fastq/BIGlebowski/ENCFF942QFN.fastq.gz,E2F1,rabbit-IgG-control
E2F7,1,fastq/BIGlebowski/ENCFF124KEV.fastq.gz,fastq/BIGlebowski/ENCFF584BPF.fastq.gz,E2F7,input_control
E2F7,2,fastq/BIGlebowski/ENCFF928ZAS.fastq.gz,fastq/BIGlebowski/ENCFF971CJJ.fastq.gz,E2F7,input_control
E2F8,1,fastq/BIGlebowski/ENCFF365NLR.fastq.gz,fastq/BIGlebowski/ENCFF467AXX.fastq.gz,E2F8,rabbit-IgG-control
E2F8,2,fastq/BIGlebowski/ENCFF778OSN.fastq.gz,fastq/BIGlebowski/ENCFF839XCL.fastq.gz,E2F8,rabbit-IgG-control
E4F1,1,fastq/BIGlebowski/ENCFF772FZX.fastq.gz,fastq/BIGlebowski/ENCFF603CIN.fastq.gz,E4F1,input_control
E4F1,1,fastq/BIGlebowski/ENCFF447FBL.fastq.gz,fastq/BIGlebowski/ENCFF953JKI.fastq.gz,E4F1,input_control
E4F1,2,fastq/BIGlebowski/ENCFF301GHT.fastq.gz,fastq/BIGlebowski/ENCFF243UPQ.fastq.gz,E4F1,input_control
eGFP-ATF1,1,fastq/BIGlebowski/ENCFF693JKI.fastq.gz,fastq/BIGlebowski/ENCFF109NTO.fastq.gz,ATF1,eGFP-ATF1_input_control
eGFP-ATF1,2,fastq/BIGlebowski/ENCFF018HQR.fastq.gz,fastq/BIGlebowski/ENCFF016FNK.fastq.gz,ATF1,eGFP-ATF1_input_control
eGFP-ATF1_input_control,1,fastq/BIGlebowski/ENCFF698OMK.fastq.gz,fastq/BIGlebowski/ENCFF340RXU.fastq.gz,,
eGFP-ATF3,1,fastq/BIGlebowski/ENCFF647KQT.fastq.gz,fastq/BIGlebowski/ENCFF311SGU.fastq.gz,ATF3,eGFP-ATF3_input_control
eGFP-ATF3,2,fastq/BIGlebowski/ENCFF497JNW.fastq.gz,fastq/BIGlebowski/ENCFF842CFV.fastq.gz,ATF3,eGFP-ATF3_input_control
eGFP-ATF3_input_control,1,fastq/BIGlebowski/ENCFF224SOH.fastq.gz,fastq/BIGlebowski/ENCFF451VBV.fastq.gz,,
eGFP-CEBPB,1,fastq/BIGlebowski/ENCFF156EZY.fastq.gz,fastq/BIGlebowski/ENCFF052XOQ.fastq.gz,CEBPB,eGFP-CEBPB_input_control
eGFP-CEBPB,2,fastq/BIGlebowski/ENCFF470OUZ.fastq.gz,fastq/BIGlebowski/ENCFF555QJQ.fastq.gz,CEBPB,eGFP-CEBPB_input_control
eGFP-CEBPB_input_control,1,fastq/BIGlebowski/ENCFF168MST.fastq.gz,fastq/BIGlebowski/ENCFF962SMK.fastq.gz,,
eGFP-CEBPG,1,fastq/BIGlebowski/ENCFF496CZA.fastq.gz,fastq/BIGlebowski/ENCFF028NOQ.fastq.gz,CEBPG,eGFP-CEBPG_input_control
eGFP-CEBPG,2,fastq/BIGlebowski/ENCFF392MVW.fastq.gz,fastq/BIGlebowski/ENCFF567TRK.fastq.gz,CEBPG,eGFP-CEBPG_input_control
eGFP-CEBPG_input_control,1,fastq/BIGlebowski/ENCFF953WVU.fastq.gz,fastq/BIGlebowski/ENCFF911YKD.fastq.gz,,
eGFP-CREB3,1,fastq/BIGlebowski/ENCFF274ZEZ.fastq.gz,fastq/BIGlebowski/ENCFF565JGI.fastq.gz,CREB3,eGFP-CREB3_input_control
eGFP-CREB3,2,fastq/BIGlebowski/ENCFF199DAD.fastq.gz,fastq/BIGlebowski/ENCFF026WQA.fastq.gz,CREB3,eGFP-CREB3_input_control
eGFP-CREB3_input_control,1,fastq/BIGlebowski/ENCFF390XLA.fastq.gz,fastq/BIGlebowski/ENCFF783BXZ.fastq.gz,,
eGFP-DDX20,1,fastq/BIGlebowski/ENCFF129CFJ.fastq.gz,fastq/BIGlebowski/ENCFF674JSK.fastq.gz,DDX20,eGFP-DDX20_input_control
eGFP-DDX20,2,fastq/BIGlebowski/ENCFF706WJQ.fastq.gz,fastq/BIGlebowski/ENCFF077SBC.fastq.gz,DDX20,eGFP-DDX20_input_control
eGFP-DDX20_input_control,1,fastq/BIGlebowski/ENCFF467ZVS.fastq.gz,fastq/BIGlebowski/ENCFF969JRS.fastq.gz,,
eGFP-DIDO1,1,fastq/BIGlebowski/ENCFF597HDK.fastq.gz,fastq/BIGlebowski/ENCFF992IHE.fastq.gz,DIDO1,eGFP-DIDO1_input_control
eGFP-DIDO1,2,fastq/BIGlebowski/ENCFF382BWE.fastq.gz,fastq/BIGlebowski/ENCFF943GMA.fastq.gz,DIDO1,eGFP-DIDO1_input_control
eGFP-DIDO1_input_control,1,fastq/BIGlebowski/ENCFF795ITH.fastq.gz,fastq/BIGlebowski/ENCFF729LDU.fastq.gz,,
eGFP-ETS2,1,fastq/BIGlebowski/ENCFF466RJA.fastq.gz,fastq/BIGlebowski/ENCFF548XLM.fastq.gz,ETS2,eGFP-ETS2_input_control
eGFP-ETS2,2,fastq/BIGlebowski/ENCFF947BPK.fastq.gz,fastq/BIGlebowski/ENCFF817VCN.fastq.gz,ETS2,eGFP-ETS2_input_control
eGFP-ETS2_input_control,1,fastq/BIGlebowski/ENCFF258YTR.fastq.gz,fastq/BIGlebowski/ENCFF910GLH.fastq.gz,,
eGFP-ETV1,1,fastq/BIGlebowski/ENCFF548SNS.fastq.gz,fastq/BIGlebowski/ENCFF898MPN.fastq.gz,ETV1,eGFP-ETV1_input_control
eGFP-ETV1,2,fastq/BIGlebowski/ENCFF990FFM.fastq.gz,fastq/BIGlebowski/ENCFF865UHF.fastq.gz,ETV1,eGFP-ETV1_input_control
eGFP-ETV1_input_control,1,fastq/BIGlebowski/ENCFF487HZM.fastq.gz,fastq/BIGlebowski/ENCFF510RBZ.fastq.gz,,
eGFP-GTF2A2,1,fastq/BIGlebowski/ENCFF483AVN.fastq.gz,fastq/BIGlebowski/ENCFF264IWL.fastq.gz,GTF2A2,eGFP-GTF2A2_input_control
eGFP-GTF2A2,2,fastq/BIGlebowski/ENCFF677HTA.fastq.gz,fastq/BIGlebowski/ENCFF339NHI.fastq.gz,GTF2A2,eGFP-GTF2A2_input_control
eGFP-GTF2A2_input_control,1,fastq/BIGlebowski/ENCFF598DYO.fastq.gz,fastq/BIGlebowski/ENCFF821AJH.fastq.gz,,
eGFP-HDAC8,1,fastq/BIGlebowski/ENCFF493AAY.fastq.gz,fastq/BIGlebowski/ENCFF391EFO.fastq.gz,HDAC8,eGFP-HDAC8_input_control
eGFP-HDAC8,2,fastq/BIGlebowski/ENCFF393ANW.fastq.gz,fastq/BIGlebowski/ENCFF351UCM.fastq.gz,HDAC8,eGFP-HDAC8_input_control
eGFP-HDAC8_input_control,1,fastq/BIGlebowski/ENCFF047NSE.fastq.gz,fastq/BIGlebowski/ENCFF743SMH.fastq.gz,,
eGFP-HINFP,1,fastq/BIGlebowski/ENCFF551WWR.fastq.gz,fastq/BIGlebowski/ENCFF541TDH.fastq.gz,HINFP,eGFP-HINFP_input_control
eGFP-HINFP,2,fastq/BIGlebowski/ENCFF423ZOG.fastq.gz,fastq/BIGlebowski/ENCFF224KMR.fastq.gz,HINFP,eGFP-HINFP_input_control
eGFP-HINFP_input_control,1,fastq/BIGlebowski/ENCFF217VQE.fastq.gz,fastq/BIGlebowski/ENCFF241ECN.fastq.gz,,
eGFP-ID3,1,fastq/BIGlebowski/ENCFF548RTA.fastq.gz,fastq/BIGlebowski/ENCFF916QKA.fastq.gz,ID3,eGFP-ID3_input_control
eGFP-ID3,2,fastq/BIGlebowski/ENCFF542CMJ.fastq.gz,fastq/BIGlebowski/ENCFF780YRV.fastq.gz,ID3,eGFP-ID3_input_control
eGFP-ID3_input_control,1,fastq/BIGlebowski/ENCFF622ATI.fastq.gz,fastq/BIGlebowski/ENCFF114DVM.fastq.gz,,
eGFP-ILK,1,fastq/BIGlebowski/ENCFF908PTR.fastq.gz,fastq/BIGlebowski/ENCFF007IDQ.fastq.gz,ILK,eGFP-ILK_input_control
eGFP-ILK,2,fastq/BIGlebowski/ENCFF395XDN.fastq.gz,fastq/BIGlebowski/ENCFF188LAZ.fastq.gz,ILK,eGFP-ILK_input_control
eGFP-ILK_input_control,1,fastq/BIGlebowski/ENCFF823MCH.fastq.gz,fastq/BIGlebowski/ENCFF904LUM.fastq.gz,,
eGFP-IRF1,1,fastq/BIGlebowski/ENCFF602NSL.fastq.gz,fastq/BIGlebowski/ENCFF071PWE.fastq.gz,IRF1,eGFP-IRF1_input_control
eGFP-IRF1,2,fastq/BIGlebowski/ENCFF031RWN.fastq.gz,fastq/BIGlebowski/ENCFF031WIT.fastq.gz,IRF1,eGFP-IRF1_input_control
eGFP-IRF1_input_control,1,fastq/BIGlebowski/ENCFF285JYI.fastq.gz,fastq/BIGlebowski/ENCFF420KFM.fastq.gz,,
eGFP-IRF9,1,fastq/BIGlebowski/ENCFF034WFD.fastq.gz,fastq/BIGlebowski/ENCFF183THJ.fastq.gz,IRF9,eGFP-IRF9_input_control
eGFP-IRF9,2,fastq/BIGlebowski/ENCFF137GVE.fastq.gz,fastq/BIGlebowski/ENCFF991EAW.fastq.gz,IRF9,eGFP-IRF9_input_control
eGFP-IRF9_input_control,1,fastq/BIGlebowski/ENCFF614IRS.fastq.gz,fastq/BIGlebowski/ENCFF817GNU.fastq.gz,,
eGFP-KLF1,1,fastq/BIGlebowski/ENCFF994DFN.fastq.gz,fastq/BIGlebowski/ENCFF438UFH.fastq.gz,KLF1,eGFP-KLF1_input_control
eGFP-KLF1,2,fastq/BIGlebowski/ENCFF942FDD.fastq.gz,fastq/BIGlebowski/ENCFF807OLO.fastq.gz,KLF1,eGFP-KLF1_input_control
eGFP-KLF1_input_control,1,fastq/BIGlebowski/ENCFF918QAP.fastq.gz,fastq/BIGlebowski/ENCFF419AVJ.fastq.gz,,
eGFP-KLF13,1,fastq/BIGlebowski/ENCFF519FTA.fastq.gz,fastq/BIGlebowski/ENCFF607CQM.fastq.gz,KLF13,eGFP-KLF13_input_control
eGFP-KLF13,2,fastq/BIGlebowski/ENCFF358PYP.fastq.gz,fastq/BIGlebowski/ENCFF684JBQ.fastq.gz,KLF13,eGFP-KLF13_input_control
eGFP-KLF13_input_control,1,fastq/BIGlebowski/ENCFF697PWI.fastq.gz,fastq/BIGlebowski/ENCFF486HGM.fastq.gz,,
eGFP-MAFG,1,fastq/BIGlebowski/ENCFF683PDC.fastq.gz,fastq/BIGlebowski/ENCFF307CQO.fastq.gz,MAFG,eGFP-MAFG_input_control
eGFP-MAFG,2,fastq/BIGlebowski/ENCFF711WIA.fastq.gz,fastq/BIGlebowski/ENCFF131JSB.fastq.gz,MAFG,eGFP-MAFG_input_control
eGFP-MAFG_input_control,1,fastq/BIGlebowski/ENCFF345KIN.fastq.gz,fastq/BIGlebowski/ENCFF211RBV.fastq.gz,,
eGFP-MEF2D,1,fastq/BIGlebowski/ENCFF987YBA.fastq.gz,fastq/BIGlebowski/ENCFF482ODR.fastq.gz,MEF2D,eGFP-MEF2D_input_control
eGFP-MEF2D,2,fastq/BIGlebowski/ENCFF703DNA.fastq.gz,fastq/BIGlebowski/ENCFF958CZA.fastq.gz,MEF2D,eGFP-MEF2D_input_control
eGFP-MEF2D_input_control,1,fastq/BIGlebowski/ENCFF650GDL.fastq.gz,fastq/BIGlebowski/ENCFF132ASO.fastq.gz,,
eGFP-NFE2,1,fastq/BIGlebowski/ENCFF719JFL.fastq.gz,fastq/BIGlebowski/ENCFF105YSI.fastq.gz,NFE2,eGFP-NFE2_input_control
eGFP-NFE2,2,fastq/BIGlebowski/ENCFF118PSY.fastq.gz,fastq/BIGlebowski/ENCFF034LKJ.fastq.gz,NFE2,eGFP-NFE2_input_control
eGFP-NFE2_input_control,1,fastq/BIGlebowski/ENCFF160VFX.fastq.gz,fastq/BIGlebowski/ENCFF439KJM.fastq.gz,,
