accession,file_accession,target,dataset_description,replicate_libraries,replicate_antibody,controls,controlled_by,paired_end,paired_with,href,md5sum,fiji_file
ENCSR004GKA,ENCFF843QOR,ZEB2,ZEB2 ChIP-seq on human K562,ENCLB334VFQ,ENCAB311QPT,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF239XFD,/files/ENCFF843QOR/@@download/ENCFF843QOR.fastq.gz,b1b269e0f7563ab4870462437570cb1d,fastq/encode/ENCFF843QOR.fastq.gz
ENCSR004GKA,ENCFF239XFD,ZEB2,ZEB2 ChIP-seq on human K562,ENCLB334VFQ,ENCAB311QPT,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF843QOR,/files/ENCFF239XFD/@@download/ENCFF239XFD.fastq.gz,ce3885e752f19bf4ea5bc88f29d097f4,fastq/encode/ENCFF239XFD.fastq.gz
ENCSR004GKA,ENCFF845NVE,ZEB2,ZEB2 ChIP-seq on human K562,ENCLB687SDX,ENCAB311QPT,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF030EJQ,/files/ENCFF845NVE/@@download/ENCFF845NVE.fastq.gz,01eb20a3c567598ab30d9f2a0f0f145f,fastq/encode/ENCFF845NVE.fastq.gz
ENCSR004GKA,ENCFF030EJQ,ZEB2,ZEB2 ChIP-seq on human K562,ENCLB687SDX,ENCAB311QPT,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF845NVE,/files/ENCFF030EJQ/@@download/ENCFF030EJQ.fastq.gz,9acc311f36a877381102552d74177aa4,fastq/encode/ENCFF030EJQ.fastq.gz
ENCSR005NMT,ENCFF780YRV,eGFP-ID3,eGFP-ID3 ChIP-seq on human K562,ENCLB842NPF,ENCAB728YTO,ENCSR781GAA,ENCFF114DVM,fastq_2,ENCFF542CMJ,/files/ENCFF780YRV/@@download/ENCFF780YRV.fastq.gz,9f55b79ba7f5d153c4293886a54431a9,fastq/encode/ENCFF780YRV.fastq.gz
ENCSR005NMT,ENCFF548RTA,eGFP-ID3,eGFP-ID3 ChIP-seq on human K562,ENCLB314DMO,ENCAB728YTO,ENCSR781GAA,ENCFF622ATI,fastq_1,ENCFF916QKA,/files/ENCFF548RTA/@@download/ENCFF548RTA.fastq.gz,596696f328e50409679b057b472646ec,fastq/encode/ENCFF548RTA.fastq.gz
ENCSR005NMT,ENCFF542CMJ,eGFP-ID3,eGFP-ID3 ChIP-seq on human K562,ENCLB842NPF,ENCAB728YTO,ENCSR781GAA,ENCFF622ATI,fastq_1,ENCFF780YRV,/files/ENCFF542CMJ/@@download/ENCFF542CMJ.fastq.gz,7aa1cc7e50456a75267fa670c4174ac1,fastq/encode/ENCFF542CMJ.fastq.gz
ENCSR005NMT,ENCFF916QKA,eGFP-ID3,eGFP-ID3 ChIP-seq on human K562,ENCLB314DMO,ENCAB728YTO,ENCSR781GAA,ENCFF114DVM,fastq_2,ENCFF548RTA,/files/ENCFF916QKA/@@download/ENCFF916QKA.fastq.gz,4e74a50a66983ae9949874ad6a913373,fastq/encode/ENCFF916QKA.fastq.gz
ENCSR011NOZ,ENCFF253FCU,ZNF407,ZNF407 ChIP-seq on human K562,ENCLB559BCO,ENCAB222KVZ,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF379LAP,/files/ENCFF253FCU/@@download/ENCFF253FCU.fastq.gz,76947108507c94a1aaf5d47effba1b15,fastq/encode/ENCFF253FCU.fastq.gz
ENCSR011NOZ,ENCFF864KXI,ZNF407,ZNF407 ChIP-seq on human K562,ENCLB020AEM,ENCAB222KVZ,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF678SZB,/files/ENCFF864KXI/@@download/ENCFF864KXI.fastq.gz,af6866740d80c0d7bdccab6d98986982,fastq/encode/ENCFF864KXI.fastq.gz
ENCSR011NOZ,ENCFF379LAP,ZNF407,ZNF407 ChIP-seq on human K562,ENCLB559BCO,ENCAB222KVZ,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF253FCU,/files/ENCFF379LAP/@@download/ENCFF379LAP.fastq.gz,dafabca98d061944e6acd7e57cae7e24,fastq/encode/ENCFF379LAP.fastq.gz
ENCSR011NOZ,ENCFF678SZB,ZNF407,ZNF407 ChIP-seq on human K562,ENCLB020AEM,ENCAB222KVZ,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF864KXI,/files/ENCFF678SZB/@@download/ENCFF678SZB.fastq.gz,da898d166b96e7842dd199753a91e67f,fastq/encode/ENCFF678SZB.fastq.gz
ENCSR024CNP,ENCFF751XCN,EGR1,EGR1 ChIP-seq on human K562,ENCLB345UGA,ENCAB538ZMX,ENCSR658AGP,ENCFF368UOC,fastq_2,ENCFF025AGM,/files/ENCFF751XCN/@@download/ENCFF751XCN.fastq.gz,a81b1c5d106296df0fe97186f32a8cd9,fastq/encode/ENCFF751XCN.fastq.gz
ENCSR024CNP,ENCFF871VWH,EGR1,EGR1 ChIP-seq on human K562,ENCLB428KJP,ENCAB538ZMX,ENCSR658AGP,ENCFF240DTE,fastq_1,ENCFF045QIG,/files/ENCFF871VWH/@@download/ENCFF871VWH.fastq.gz,34f1938f68fdda5abf1943a25bdcf794,fastq/encode/ENCFF871VWH.fastq.gz
ENCSR024CNP,ENCFF025AGM,EGR1,EGR1 ChIP-seq on human K562,ENCLB345UGA,ENCAB538ZMX,ENCSR658AGP,ENCFF410PHD,fastq_1,ENCFF751XCN,/files/ENCFF025AGM/@@download/ENCFF025AGM.fastq.gz,e3c4c0e1e19b67f3979339a4021ce28b,fastq/encode/ENCFF025AGM.fastq.gz
ENCSR024CNP,ENCFF045QIG,EGR1,EGR1 ChIP-seq on human K562,ENCLB428KJP,ENCAB538ZMX,ENCSR658AGP,ENCFF608MDV,fastq_2,ENCFF871VWH,/files/ENCFF045QIG/@@download/ENCFF045QIG.fastq.gz,70786004e3269cdc0a8722280f0353b9,fastq/encode/ENCFF045QIG.fastq.gz
ENCSR024LKA,ENCFF770NDG,HDAC3,HDAC3 ChIP-seq on human K562,ENCLB253API,ENCAB179VMG,ENCSR632PAG,ENCFF259GQA,fastq_1,ENCFF369MSV,/files/ENCFF770NDG/@@download/ENCFF770NDG.fastq.gz,f43c35df651fa500da223cc7d11157f5,fastq/encode/ENCFF770NDG.fastq.gz
ENCSR024LKA,ENCFF942ZRE,HDAC3,HDAC3 ChIP-seq on human K562,ENCLB907LDV,ENCAB179VMG,ENCSR632PAG,ENCFF498JMO,fastq_1,ENCFF908SKY,/files/ENCFF942ZRE/@@download/ENCFF942ZRE.fastq.gz,7e2d551f2095c8eee31203c3dd02cd9b,fastq/encode/ENCFF942ZRE.fastq.gz
ENCSR024LKA,ENCFF908SKY,HDAC3,HDAC3 ChIP-seq on human K562,ENCLB907LDV,ENCAB179VMG,ENCSR632PAG,ENCFF502GTS,fastq_2,ENCFF942ZRE,/files/ENCFF908SKY/@@download/ENCFF908SKY.fastq.gz,c324414dc19f388da6424b5841ea9031,fastq/encode/ENCFF908SKY.fastq.gz
ENCSR024LKA,ENCFF369MSV,HDAC3,HDAC3 ChIP-seq on human K562,ENCLB253API,ENCAB179VMG,ENCSR632PAG,ENCFF837MIV,fastq_2,ENCFF770NDG,/files/ENCFF369MSV/@@download/ENCFF369MSV.fastq.gz,d09964673a604e42fa92751c151174b0,fastq/encode/ENCFF369MSV.fastq.gz
ENCSR028UIU,ENCFF169CRK,ATF3,ATF3 ChIP-seq on human K562,ENCLB439NIJ,ENCAB548QXS,ENCSR173USI,ENCFF837MIV,fastq_2,ENCFF367HUF,/files/ENCFF169CRK/@@download/ENCFF169CRK.fastq.gz,8e04ff86b79e7b126458d7ab5666551c,fastq/encode/ENCFF169CRK.fastq.gz
ENCSR028UIU,ENCFF367HUF,ATF3,ATF3 ChIP-seq on human K562,ENCLB439NIJ,ENCAB548QXS,ENCSR173USI,ENCFF259GQA,fastq_1,ENCFF169CRK,/files/ENCFF367HUF/@@download/ENCFF367HUF.fastq.gz,1367bd682ec1fc6eea2a14610e404c39,fastq/encode/ENCFF367HUF.fastq.gz
ENCSR028UIU,ENCFF457RYN,ATF3,ATF3 ChIP-seq on human K562,ENCLB856XCJ,ENCAB548QXS,ENCSR173USI,ENCFF498JMO,fastq_1,ENCFF126JWD,/files/ENCFF457RYN/@@download/ENCFF457RYN.fastq.gz,b86090b4e75177f5ffc10ebbe4402877,fastq/encode/ENCFF457RYN.fastq.gz
ENCSR028UIU,ENCFF126JWD,ATF3,ATF3 ChIP-seq on human K562,ENCLB856XCJ,ENCAB548QXS,ENCSR173USI,ENCFF502GTS,fastq_2,ENCFF457RYN,/files/ENCFF126JWD/@@download/ENCFF126JWD.fastq.gz,4a0f8ed1f360387eab04db889f1ec823,fastq/encode/ENCFF126JWD.fastq.gz
